Category: All categories

Day,GoldieBlox: (Worldwide)
2014-10-18,4
2014-10-19,12
2014-10-20,8
2014-10-21,8
2014-10-22,9
2014-10-23,6
2014-10-24,11
2014-10-25,4
2014-10-26,10
2014-10-27,13
2014-10-28,12
2014-10-29,8
2014-10-30,9
2014-10-31,4
2014-11-01,6
2014-11-02,10
2014-11-03,11
2014-11-04,6
2014-11-05,8
2014-11-06,41
2014-11-07,60
2014-11-08,40
2014-11-09,27
2014-11-10,14
2014-11-11,14
2014-11-12,10
2014-11-13,10
2014-11-14,16
2014-11-15,11
2014-11-16,12
2014-11-17,10
2014-11-18,15
2014-11-19,19
2014-11-20,25
2014-11-21,18
2014-11-22,18
2014-11-23,17
2014-11-24,14
2014-11-25,11
2014-11-26,46
2014-11-27,100
2014-11-28,33
2014-11-29,29
2014-11-30,26
2014-12-01,31
2014-12-02,21
2014-12-03,20
2014-12-04,19
2014-12-05,23
2014-12-06,15
2014-12-07,24
2014-12-08,20
2014-12-09,19
2014-12-10,15
2014-12-11,23
2014-12-12,22
2014-12-13,26
2014-12-14,31
2014-12-15,25
2014-12-16,19
2014-12-17,20
2014-12-18,24
2014-12-19,11
2014-12-20,18
2014-12-21,21
2014-12-22,18
2014-12-23,17
2014-12-24,6
2014-12-25,21
2014-12-26,18
2014-12-27,14
2014-12-28,8
2014-12-29,18
2014-12-30,8
2014-12-31,13
2015-01-01,10
2015-01-02,6
2015-01-03,13
2015-01-04,11
2015-01-05,4
2015-01-06,8
2015-01-07,6
2015-01-08,8
2015-01-09,7
2015-01-10,9
2015-01-11,6
2015-01-12,4
2015-01-13,7
2015-01-14,4
2015-01-15,3
2015-01-16,6
2015-01-17,3
2015-01-18,5
2015-01-19,2
2015-01-20,4
2015-01-21,3
2015-01-22,6
2015-01-23,6
2015-01-24,13
2015-01-25,6
2015-01-26,6
2015-01-27,7
2015-01-28,8
