Category: All categories

Day,Jordan Peterson debate: (Worldwide)
2018-01-08,3
2018-01-09,5
2018-01-10,5
2018-01-11,3
2018-01-12,3
2018-01-13,4
2018-01-14,7
2018-01-15,6
2018-01-16,8
2018-01-17,57
2018-01-18,54
2018-01-19,56
2018-01-20,39
2018-01-21,51
2018-01-22,52
2018-01-23,80
2018-01-24,100
2018-01-25,48
2018-01-26,43
2018-01-27,46
2018-01-28,47
2018-01-29,63
2018-01-30,57
2018-01-31,50
2018-02-01,39
2018-02-02,42
2018-02-03,38
2018-02-04,22
2018-02-05,36
2018-02-06,44
2018-02-07,32
2018-02-08,29
2018-02-09,21
2018-02-10,18
2018-02-11,12
2018-02-12,20
2018-02-13,20
2018-02-14,26
2018-02-15,32
2018-02-16,25
2018-02-17,19
2018-02-18,14
2018-02-19,11
2018-02-20,12
2018-02-21,18
2018-02-22,18
2018-02-23,13
2018-02-24,13
2018-02-25,10
2018-02-26,19
2018-02-27,10
2018-02-28,17
2018-03-01,20
2018-03-02,6
2018-03-03,11
2018-03-04,19
